Front	Back
What is the difference between "break" and "continue", and why does the non-config-file filter use continue (not break)?	continue abandons the current iteration and jumps back to the for-header for the NEXT item; break exits the entire loop to the line after it. The filter uses continue so one non-config file (.DS_Store, .md) is skipped while the rest of the fleet keeps processing. break would abandon every remaining device at the first junk file.
Why catch "except (OSError, UnicodeDecodeError)" instead of a bare "except:"?	A bare except swallows everything — including KeyboardInterrupt (you couldn't Ctrl-C the run) and genuine bugs like a NameError typo, which then get mislabeled as "bad files" and hidden. Catch only what you can actually handle. Specific exception types keep real bugs visible.
Why can "except OSError" catch FileNotFoundError, IsADirectoryError, and PermissionError all at once, but UnicodeDecodeError must be listed separately?	Those filesystem errors are all subclasses of OSError, so catching the parent catches them all. UnicodeDecodeError is a subclass of ValueError (decoding is a VALUE problem, not an OS problem), so it sits outside the OSError branch and must be named explicitly: except (OSError, UnicodeDecodeError).
Where must a try/except live so that "skip one bad device, keep processing the rest" works — and what happens if it's outside the loop?	It must be INSIDE the loop, wrapping one iteration's body, so each device gets its own handler and a failure only skips that one iteration. If the try is OUTSIDE/around the loop, the exception propagates up and out, terminating the whole loop — the first bad device abandons every remaining one (crash-all).
An error can be "recoverable" or "fatal". How does each map to handler behavior, with config-parsing examples?	Recoverable/per-item (one file fails to read) -> skip + record + continue; partial success is meaningful. Fatal/setup (the entire config folder is missing) -> there's nothing to loop over, so "continue" is meaningless; print a clear message and STOP (return/exit). Match the handling to the error's blast radius.
Your fatal folder handler printed the error but then crashed with UnboundLocalError. Why, and what single line fixes it?	The except caught the os.listdir failure and printed, but execution fell through to "for filename in config_files" — and config_files was never assigned (its assignment was inside the failed try), so referencing it raises UnboundLocalError. Fix: add "return data" in the except. Catching a FATAL error means STOP, not just log-and-pray.
Why is a handler that logs a fatal error but lets the code run on often WORSE than having no handler at all?	It converts a clear, accurate crash (FileNotFoundError: 'sample_configs') into a confusing, misleading one (UnboundLocalError about some variable). The original exception pointed straight at the real problem; the half-handled version buries it behind a secondary symptom. Handle fully (stop) or don't catch it at all.
A variable is assigned only inside a "try" block. Why can referencing it later raise UnboundLocalError?	If the try raises BEFORE the assignment line executes, the name is never bound. Python then raises UnboundLocalError when you reference it on that path. Variables assigned only inside a try (or inside one branch of an if) do not exist on the paths where that branch didn't complete.
In your tool a bad file's error goes into output.json, but a missing-folder error prints to the console. Why split logging this way?	Per-device errors are recorded STRUCTURALLY (one entry per failure) so a 500-device run yields a clean machine-readable punch-list instead of console spam. The fatal folder error PRINTS because the run is aborting and a human needs to see it right now. (AUTOCOR 3.2 logging strategy: capture what failed and why, at the right destination.)
You have a ".txt filter (continue)" AND a "try/except (record)". Don't they overlap — why keep both?	They answer different questions. The filter (LBYL) asks "is this even a config file I should attempt?" and silently skips non-configs (.DS_Store, .md). The try/except (EAFP) asks "this IS a config file — did reading/parsing fail?" and records it as an error. Together they keep the error list meaningful (real configs that failed, not junk) — defense in depth.
A file named "binarytextfile.txt" containing "111110000010101010" parsed fine with no UnicodeDecodeError. Why?	Those are the ASCII characters '1' and '0' — perfectly valid UTF-8 text. Encoding errors are about invalid BYTES, not about whether content "looks binary" to a human. A .txt extension guarantees nothing about content, and looking like 1s-and-0s is not the same as being raw non-UTF-8 bytes. Triggering UnicodeDecodeError needs genuinely illegal bytes (e.g. 0xFF).
You never defined ip_address, yet "ipaddress.ip_address(x)" works. How — and how is it the same as re.search or json.dump?	ip_address is a function defined inside the standard-library "ipaddress" module; "import ipaddress" loads it, and the dot reaches inside the module to grab that function. It's the identical module.function() pattern as re.search, os.listdir, json.dump — you never wrote those either. The earlier bug "ipaddress(x)" tried to CALL the module itself, which is not callable.
Why is "look before you leap" (os.path.exists then open) fragile for files, making EAFP the better choice?	TOCTOU: time-of-check to time-of-use. Between exists() and open(), the file can be deleted, moved, or have permissions changed — so the check is already a lie by the time you act. You also can't pre-check whether bytes decode without reading them. So you just attempt the open/read and catch the failure; there's no gap for the world to change underneath you.
Why does defining a helper function AFTER the function that calls it still work in Python?	When the module loads top-to-bottom, each "def" just creates a function object — the body is NOT executed and the names inside it aren't looked up yet. Those names are resolved only when the function is CALLED. As long as every definition finishes before the first call (e.g. the call happens in __main__ at the bottom), order doesn't matter. For human readers, still define helpers before their use.
